Student_ID,Student_Age,Gender,School,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Physics,Chemistry,Math,Project_work,Grade
STUDENT102,18,Male,State,75%,No,No,Bus,2,Always,82,63,77,Yes,DD
STUDENT103,18,Male,State,50%,No,No,Bus,0,Always,50,74,100,Yes,DD
STUDENT104,18,Male,Private,75%,No,No,Bus,12,Always,72,91,90,No,DD
STUDENT105,18,Female,State,50%,No,No,Private,0,Sometimes,81,80,81,Yes,BB
STUDENT106,18,Male,State,75%,Yes,Yes,Private,0,Always,41,71,50,No,DD
STUDENT107,18,Male,State,75%,No,Yes,Private,0,Always,45,47,80,Yes,DD
STUDENT108,18,Female,State,75%,Yes,Yes,Private,0,Always,46,50,49,No,DC
STUDENT109,19-22,Female,Private,100%,No,Yes,Private,2,Sometimes,53,87,84,Yes,DC
STUDENT110,18,Male,Private,50%,No,Yes,Bus,0,Sometimes,99,68,54,Yes,DD
STUDENT111,19-22,Male,State,50%,No,No,Private,2,Never,82,55,43,Yes,BA
STUDENT112,18,Female,Private,100%,No,Yes,Private,0,Always,93,79,50,Yes,BA
STUDENT113,19-22,Female,Other,50%,Yes,No,Private,0,3,95,62,91,Yes,BA
STUDENT114,19-22,Female,Other,50%,No,No,Private,0,Never,47,66,86,Yes,AA
STUDENT115,19-22,Female,State,100%,Yes,Yes,Private,8,Always,98,86,55,Yes,BA
STUDENT116,19-22,Female,State,100%,Yes,No,Bus,0,Always,56,75,51,Yes,AA
STUDENT117,19-22,Female,State,100%,No,No,Private,0,Always,62,48,72,No,AA
STUDENT118,23-27,Female,Private,50%,No,Yes,Private,0,Always,62,49,90,Yes,AA
STUDENT119,18,Male,State,100%,No,Yes,Bus,0,Never,60,70,68,No,AA
STUDENT120,19-22,Female,State,75%,No,Yes,Private,0,Always,89,75,72,Yes,BA
STUDENT121,19-22,Female,Private,50%,Yes,Yes,Bus,2,Sometimes,71,95,58,Yes,AA
STUDENT122,19-22,Female,State,50%,Yes,Yes,Bus,0,Sometimes,56,50,71,No,Fail
STUDENT123,18,Male,State,100%,No,Yes,Private,0,Always,66,50,46,Yes,BA
STUDENT124,19-22,Female,Other,50%,No,No,Private,12,Always,91,75,52,No,AA
STUDENT125,18,Female,State,75%,Yes,Yes,Bus,0,Always,40,83,50,Yes,BB
STUDENT126,18,Female,State,100%,Yes,Yes,Private,0,Always,72,80,80,No,BA
STUDENT127,18,Female,Private,75%,Yes,Yes,Bus,12,Sometimes,67,44,91,Yes,BB
STUDENT128,18,Female,State,75%,No,No,Private,0,Never,69,88,88,Yes,AA
STUDENT129,18,Female,State,75%,No,Yes,Bus,0,Never,88,49,55,Yes,Fail
STUDENT130,18,Female,State,50%,Yes,Yes,Private,0,Always,66,82,45,No,BB
STUDENT131,18,Female,State,50%,Yes,Yes,Private,0,Always,75,74,89,No,AA
STUDENT132,18,Female,Private,100%,No,Yes,Private,0,Sometimes,98,74,100,Yes,CB
STUDENT133,18,Female,Private,100%,No,Yes,Private,0,Always,58,54,47,No,BB
STUDENT134,18,Female,State,100%,No,No,Bus,0,Always,98,72,84,Yes,BB
STUDENT135,18,Female,State,75%,No,Yes,Private,0,Sometimes,66,73,72,Yes,AA
STUDENT136,19-22,Female,State,50%,Yes,Yes,Private,0,Never,87,65,96,Yes,BA
STUDENT137,18,Female,State,50%,Yes,Yes,Bus,0,Sometimes,73,54,84,No,Fail
STUDENT138,18,Female,Private,100%,No,Yes,Private,0,Always,95,82,90,Yes,BA
STUDENT139,18,Female,State,75%,Yes,Yes,Bus,12,Sometimes,55,97,40,Yes,Fail
STUDENT140,18,Female,State,75%,Yes,No,Bus,2,Sometimes,90,67,75,Yes,Fail
STUDENT141,19-22,Female,State,50%,Yes,Yes,Private,0,Always,51,75,72,Yes,CC
STUDENT142,18,Female,State,75%,No,No,Private,0,Never,87,80,97,No,CC
STUDENT143,18,Female,Private,75%,No,No,Private,0,Always,59,85,78,No,AA
STUDENT144,19-22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,46,59,64,Yes,CB
STUDENT145,18,Female,Private,100%,No,No,Private,12,Always,86,40,83,No,BB
